number_id,City,Name,Description,Longitude,Latitude
94,Warsaw,Presidential Palace,Official residence of Polish president,21.016667,52.243333
95,Warsaw,University of Warsaw,Historic university campus,21.016111,52.239444
96,Warsaw,Grand Theatre,Opera house and theatre,21.009722,52.243889
97,Warsaw,Holy Cross Church,Baroque church,21.018889,52.238333
98,Warsaw,Krakowskie Przedmieście,Historic street,21.015833,52.246111
99,Warsaw,Zachęta Gallery,National art gallery,21.011944,52.239722
100,Paris,Eiffel Tower,Iconic iron lattice tower,2.294481,48.858370
101,Paris,Louvre Museum,World's largest art museum,2.338629,48.860294
102,Paris,Notre-Dame Cathedral,Medieval Catholic cathedral,2.349902,48.852968
103,Paris,Arc de Triomphe,Historic monument,2.295027,48.873792
104,Paris,Sacré-Cœur,White basilica on Montmartre hill,2.343075,48.886705
105,Paris,Champs-Élysées,Famous avenue for shopping,2.308628,48.866867
106,Paris,Palace of Versailles,Royal château and gardens,2.120355,48.804722
107,Paris,Musée d'Orsay,Art museum in former railway station,2.326508,48.859972
108,Paris,Centre Pompidou,Modern art museum,2.352245,48.860642
109,Paris,Place de la Concorde,Largest square in Paris,2.321582,48.865633
110,Paris,Luxembourg Gardens,Public park with palace,2.337644,48.846615
111,Paris,Panthéon,Historic mausoleum,2.346111,48.846389
112,Paris,Sainte-Chapelle,Gothic chapel with stained glass,2.345000,48.855556
113,Paris,Les Invalides,Military history museum,2.313056,48.856944
114,Paris,Palais Garnier,Historic opera house,2.331667,48.871944
115,Paris,Place des Vosges,Oldest planned square in Paris,2.366667,48.855556
116,Paris,Moulin Rouge,Historic cabaret,2.332222,48.884167
117,Paris,Tuileries Garden,Public garden,2.327778,48.863889
118,Paris,Grand Palais,Historic exhibition hall,2.313889,48.866111
119,Paris,Pont Alexandre III,Ornate bridge over Seine,2.313889,48.863889
120,Zurich,Grossmünster,Romanesque-style Protestant church,8.544167,47.370278
121,Zurich,Lake Zurich,Scenic lake with promenade,8.541111,47.366667
122,Zurich,Old Town,Historic city center,8.544444,47.371944
123,Zurich,Bahnhofstrasse,Luxury shopping street,8.539167,47.366944
124,Zurich,Swiss National Museum,History museum,8.539722,47.379167
125,Zurich,Kunsthaus,Art museum,8.548611,47.370278
126,Zurich,Uetliberg,Mountain with panoramic views,8.490833,47.350833
127,Zurich,Zoo Zürich,Large zoo with diverse species,8.575000,47.384722
128,Zurich,Fraumünster,Church with Chagall windows,8.541667,47.369722
129,Zurich,Lindenhof,Historic square with city views,8.541944,47.371667
130,Zurich,Opera House,Historic opera venue,8.546667,47.365833
131,Zurich,FIFA World Football Museum,Soccer history museum,8.531944,47.361944
132,Zurich,Chinese Garden,Traditional Chinese garden,8.553889,47.357222
133,Zurich,Rietberg Museum,Asian art museum,8.531944,47.361111
134,Zurich,St. Peter Church,Oldest parish church,8.541667,47.371111
135,Zurich,Paradeplatz,Financial district square,8.539444,47.369444
136,Zurich,ETH Zurich,Famous technical university,8.548056,47.376389
137,Zurich,Zurich West,Trendy cultural district,8.516667,47.383333
138,Zurich,Lake Promenade,Waterfront walking path,8.545833,47.366111
139,Zurich,Botanical Garden,University botanical garden,8.557778,47.358889
140,New York,Statue of Liberty,Iconic symbol of freedom,-74.044444,40.689167
141,New York,Times Square,Famous commercial intersection,-73.985278,40.758889
142,New York,Central Park,Urban park in Manhattan,-73.965556,40.782222
143,New York,Empire State Building,Art deco skyscraper,-73.984722,40.748333
144,New York,Metropolitan Museum of Art,Largest art museum in US,-73.963333,40.779167
145,New York,Brooklyn Bridge,Historic bridge,-73.996944,40.706389
146,New York,9/11 Memorial,Twin reflecting pools,-74.012222,40.711667
147,New York,Broadway,Theater district,-73.987778,40.758889
148,New York,Rockefeller Center,Art deco complex,-73.978889,40.758889
149,New York,Fifth Avenue,Premier shopping street,-73.974722,40.761667
150,New York,High Line,Elevated park,-74.004722,40.747778
151,New York,Grand Central Terminal,Historic train terminal,-73.977222,40.752778
152,New York,St. Patrick's Cathedral,Neo-Gothic church,-73.976111,40.758611
153,New York,Museum of Modern Art,Modern art museum,-73.977222,40.761667
154,New York,Wall Street,Financial district,-74.010833,40.706944
155,New York,Coney Island,Amusement area,-73.977778,40.575556
156,New York,American Museum of Natural History,Science museum,-73.974722,40.781111
157,New York,One World Trade Center,Tallest building in US,-74.013333,40.712778
158,New York,Radio City Music Hall,Entertainment venue,-73.979722,40.759722
159,New York,Chrysler Building,Art deco skyscraper,-73.975278,40.751667
