number_id,city,name,type,stars,description,longitude,latitude
143,New York,Lotte New York Palace,luxury,5,Historic mansion turned luxury hotel,-73.976667,40.758722
144,New York,New York Marriott Marquis,business,4,Times Square business hotel,-73.988667,40.758722
145,New York,Equinox Hotel Hudson Yards,wellness,5,Luxury wellness hotel in new district,-74.002667,40.752722
146,New York,Chelsea International Hostel,hostel,2,Budget lodging in Chelsea,-73.998667,40.745722
147,New York,CitizenM Times Square,budget hotel,3,Modern budget luxury concept,-73.988667,40.762722
148,New York,St. Regis New York,luxury,5,Historic luxury on Fifth Avenue,-73.976667,40.762722
149,New York,InterContinental New York,business,5,Business luxury in Times Square,-73.988667,40.758722
150,New York,Mandarin Oriental New York,luxury,5,Luxury high-rise at Columbus Circle,-73.983667,40.768722
151,New York,Jazz on Columbus Circle,hostel,2,Music-themed hostel near park,-73.983667,40.768722
152,New York,Yotel New York,budget hotel,3,Futuristic pod hotel in Hell's Kitchen,-73.998667,40.758722
153,New York,The Peninsula New York,luxury,5,Fifth Avenue luxury with rooftop bar,-73.976667,40.762722
154,New York,Grand Hyatt New York,business,4,Grand Central Terminal location,-73.978667,40.752722
155,New York,Four Seasons New York,wellness,5,I.M. Pei-designed luxury hotel,-73.971667,40.762722
156,New York,American Dream Hostel,hostel,2,Cozy hostel in Gramercy Park,-73.983667,40.738722
157,New York,Row NYC,budget hotel,3,Times Square hotel with urban style,-73.988667,40.758722
158,New York,The Carlyle,luxury,5,Upper East Side art deco luxury,-73.963667,40.772722
159,New York,W New York - Times Square,business,4,Contemporary luxury in Theater District,-73.988667,40.758722
